盛先生的花儿,被丈夫抛弃后的棉花（颜丙燕 饰）本以为找到了真爱，感情升温之际不料正房归来，经朋友介绍去照顾患有老年痴呆的盛先生（王德顺 饰），当偏见、误会、争吵都归于平静，棉花意外怀孕，引来老头女儿盛琴（艾丽娅 饰）的怀疑。一个受到几经伤害却意外怀孕的保姆，一个患老年痴呆念念不忘前妻的孤独老人，一个被丈夫冷落、被儿子指责、被父亲遗忘的女儿，三人将产生怎样剪不断理还乱的纠葛……,
非常父子档,影片讲述了一个因捐精生子引发的喜剧爱情故事。单亲家庭的天才少年顾泰丰（文梅森 饰）从小天赋异禀，他通过电脑侵入医院的资料库破解了自己身世之谜，飘洋过海来到中国找寻亲生爸爸。岂料完全没有做好当爸爸准备的大男孩周力岩（李治廷 饰）压根不承认年少时做过的捐精荒唐事，意外得子让他相当崩溃，恨不得马上甩掉这个显然已缠上自己的拖油瓶顾泰丰。父子二人在你追我赶中上演了一幕幕啼笑皆非的“乌龙”事件，两人感情日渐加深，而从韩国慌乱赶来寻找儿子泰丰的妈妈美艳（金荷娜 饰）的到来，也令周力岩的生活发生了变化，因捐精生子而发生关系的两个不同国度的青年男女，在嬉笑怒骂的相处中互生情愫……,
恐怖笔记,故事讲述了小报记者兼业余网络悬疑故事作家追查十年前发生在“谜镇”的几件知名鬼事的真相，根据匿名电话来到了所有传闻最早开始的地方，而10年过去后，这个地方因为闹鬼已经成了没人居住的烂尾楼。随着真相的慢慢揭开，他自己似乎也陷入了危险之中……,
隔离岛,在一座与世隔绝的孤岛上，曾经隔离着上百名麻风病患者，三十年前的一场大火，将这里的麻风病院化为灰烬，大火本身已渐成传说。三十年后，警校学生殷浩（张一山 饰）为在自己的女朋友，电影编导系学生小暖（丁丁 饰）面前显示自己男人的一面，带着她登上了隔离岛，拍摄纪录片，探寻大火真相。已经被人遗忘的隔离岛突然风浪骤起，死火复燃，殷浩和小暖“致命真相”的旅程由此开启......,"冒险,爱情,犯罪"
贫穷富爸爸,故事讲述了富豪李兵（郑嘉颖 饰）在妻子（刘心悠 饰）死后拼命赚钱富养儿子（小小彬 饰），可是日渐娇纵的儿子让李兵意识到自己的错误，故而假装破产，带着儿子开启了一段啼笑皆非的香港之旅。香港之旅刚刚开始父子二人就矛盾重重，鬼马儿子（小小彬 饰）与糟糕爸爸（郑嘉颖 饰）偶遇了一支“奇葩”旅行团，“持枪大闹香港金店”的鬼马儿子彻底惹怒了糟糕爸爸，也正是这次事件使爸爸深刻认识到与儿子之间的问题。暗藏旅行团中的记者心儿（李呈媛 饰）的出现另父子俩的关系发生着微妙的变化，然而就在香港之旅即将圆满结束之际，富豪爸爸李兵的身份被泄露了……,
不离不弃,中了一亿彩票的陶彦达（袁成杰 饰）在婚期临近的情况下突然逃婚。陶彦达的未婚妻叶小眉（江若琳 饰）源于对爱的执着相信陶彦达的消失肯定是有一个为了他们爱情更好的理由，而且陶彦达一定会准时参加他们的婚礼，但叶小眉却不知这消失竟是一场惊天阴谋。幕后黑手派出原是快递员的余天鸿（曹云金 饰）跟踪陶彦达，一路上山下海，想各种方法陷害陶彦达。然而造化弄人，余天鸿原本是为了赚大钱而接的任务却把自己的多年积蓄赔光，还威胁到自己的生命。这一路爆笑的离奇之旅让陶彦达和余天鸿成为了欢喜冤家，而叶小眉与陶彦达的隔空默契也让我们看到了爱人之间的不离不弃。,"剧情,喜剧,爱情"
我不是潘金莲,影片讲述一个普通的农村妇女李雪莲（范冰冰 饰），为了纠正一句话，与上上下下、方方面面打了十年交道。打交道的过程中，她没想到一件事变成了另一件事，接着变成了第三件事。十年过去，她没有把这句话纠正过来，但她饱尝了世间的人情冷暖，悟明白了另外一个道理。李雪莲要纠正的这句话是她前夫说的。她前夫说：“你是李雪莲吗？我咋觉得你是潘金莲呢？”李雪莲要告诉大家的是：我不是潘金莲。,"剧情,喜剧"
诡咒,影片讲述了一个女性心理悬疑的惊悚故事。花心渣男高伟在生病的幻觉中发现一本诅咒自己的小说——《诡咒》，而作者正是自己的前女友白雪。白雪是个脑洞奇大的女人，因为接受不了高伟与自己的闺蜜萧敏劈腿而心生怨念，于是将天下所有女人对渣男的恨汇聚成了这本诅咒之书。蒙在鼓里的高伟为找寻作者时，发现小说也正在反噬白雪，惊悚的事情一一发生，原因却另有其他。,"恐怖,惊悚,悬疑"
航海王之黄金城,《海贼王》剧场版。讲述的是，路飞及其同伴在航海的过程中来到世界最大的娱乐城市，这里堪称就连世界政府也无法干涉的“绝对圣域”，而其统治者——则是拥有无上支配力的“黄金帝”吉尔德·泰佐洛！吉尔德将动用其金钱之力，让世界的格局发生改变……,"动画,动作,冒险"
被劫持的爱情,一对日久生厌正在办理离婚手续的年轻夫妻，突然遇上一老一少两个窃贼前来行窃，转眼间行窃意外演变为无法控制的绑架，同时引出一个真假难辨的妖艳小三。这完全不搭调的5个人，由于时空错置造成一系列令人啼笑皆非、欲休还闹的奇特情景，冤家、人质和绑匪也因此逐渐原形毕露……,"喜剧,爱情,动作"
